id,cell_type,classification_system,pt_supervoxel_id,pt_root_id
162060,5P-IT,excitatory_neuron,82278517496548118,864691135995186346
331087,4P,excitatory_neuron,92337056562566770,864691134941875299
153171,23P,excitatory_neuron,82550096599823535,864691136135454091
76723,MC,inhibitory_neuron,76859505517848981,864691135118271709
156819,23P,excitatory_neuron,82695094494713290,864691136310606682
293435,23P,excitatory_neuron,91345640873232679,864691135463945541
307059,BPC,inhibitory_neuron,91572414475416305,864691135618339945
357351,BPC,inhibitory_neuron,94722995721276741,864691136034292155
119952,4P,excitatory_neuron,80447143038650436,864691135778117309
619225,microglia,nonneuron,113452351532696114,864691136309978202
611752,4P,excitatory_neuron,113515710890024127,864691135807251229
669692,astrocyte,nonneuron,115986658054397696,864691135508709385
266460,oligo,nonneuron,89176921631946224,864691135617725583
297239,astrocyte,nonneuron,89944313169553731,864691136602080465
582921,23P,excitatory_neuron,111542913493869551,864691135498437651
360928,astrocyte,nonneuron,94725675982115352,864691135927865300
533833,astrocyte,nonneuron,107476987005787975,864691135474659392
357172,23P,excitatory_neuron,95215370570379092,864691135952808483
623370,astrocyte,nonneuron,113738568488431701,864691136483859500
656731,5P-IT,excitatory_neuron,114714316472734971,864691135194985002
298224,4P,excitatory_neuron,91705248686716546,864691136273685950
169583,6P-CT,excitatory_neuron,82285320657443414,864691136011650211
490608,BPC,inhibitory_neuron,103312449545458035,864691136482875948
462153,5P-ET,excitatory_neuron,102263447269775878,864691135937969461
421072,23P,excitatory_neuron,100282127584809817,864691136144057908
336168,5P-IT,excitatory_neuron,93676880267425545,864691136050865651
132369,6P-CT,excitatory_neuron,78837389295980631,864691135590896907
373421,6P-IT,excitatory_neuron,94316795095398372,864691136990012821
169001,astrocyte,nonneuron,80666770486518836,864691135472291122
613144,BC,inhibitory_neuron,113866181496121975,864691135545417256
260635,astrocyte,nonneuron,89099406665814702,864691135520188810
368703,microglia,nonneuron,96139648942185227,864691136372820360
536743,6P-CT,excitatory_neuron,107548593572929845,864691135368020985
293456,23P,excitatory_neuron,91558052775938348,864691136110232760
203581,6P-CT,excitatory_neuron,84325190074436691,864691135360846151
485917,pericyte,nonneuron,103237545986579774,864691135858491438
396321,oligo,nonneuron,98460098439139421,864691135724775595
78435,5P-IT,excitatory_neuron,77847690989784170,864691135132656288
621448,oligo,nonneuron,112329475685396460,864691135104009549
407920,6P-CT,excitatory_neuron,96712493896023714,864691135810118604
168569,6P-CT,excitatory_neuron,81440826470728510,864691135884804464
127946,MC,inhibitory_neuron,80381997847174520,864691135987770115
532200,6P-CT,excitatory_neuron,105714264043484166,864691136041919830
590439,6P-IT,excitatory_neuron,111975432806757572,864691136673633159
454983,4P,excitatory_neuron,102256849126341934,864691136663213790
554512,microglia,nonneuron,109714012199449133,864691135447375762
328982,23P,excitatory_neuron,93811776600349366,864691135864373118
431187,5P-IT,excitatory_neuron,100079886298982866,864691135719269937
653746,OPC,nonneuron,114852786822618793,864691136922763748
669838,MC,inhibitory_neuron,115000258886803899,864691135349009367
430980,5P-IT,excitatory_neuron,98603654298421469,864691135582638445
550986,OPC,nonneuron,107949983969875440,864691135698651925
365050,oligo,nonneuron,95857073313133601,864691136195965004
274274,6P-IT,excitatory_neuron,89323363977259502,864691135585990012
499144,oligo,nonneuron,105151451663713511,864691135654075586
565057,5P-ET,excitatory_neuron,109234076514634402,864691136194738664
363620,4P,excitatory_neuron,94939531463617737,864691136388289911
257613,23P,excitatory_neuron,88323425730701337,864691135065910340
394346,4P,excitatory_neuron,98105849671046517,864691135615033803
233707,6P-IT,excitatory_neuron,86504695925306785,864691135568536300
716967,6P-IT,excitatory_neuron,116693300433720725,864691135491439847
156597,4P,excitatory_neuron,81147737969751837,864691136817750382
495698,5P-IT,excitatory_neuron,104724498091479914,864691136274765325
223011,23P,excitatory_neuron,87194365466358014,864691135294680502
615690,5P-IT,excitatory_neuron,113730390535439236,864691135307996486
768756,6P-IT,excitatory_neuron,119159917600213188,864691135870247009
300316,oligo,nonneuron,90931879628576717,864691135807281693
255916,astrocyte,nonneuron,87687908077075001,864691135743255403
373314,6P-IT,excitatory_neuron,95162800439117862,864691135447076948
226599,4P,excitatory_neuron,85088732247863775,864691135517997011
662934,5P-IT,excitatory_neuron,115068360022304347,864691135757157821
531829,6P-IT,excitatory_neuron,107543438538783190,864691136296703259
187707,23P,excitatory_neuron,84589691340944589,864691135571645933
625789,6P-CT,excitatory_neuron,113037286630967230,864691136378782165
360464,23P,excitatory_neuron,95430050215845749,864691135645364207
376741,astrocyte,nonneuron,94953481986728265,864691135719717937
699773,5P-IT,excitatory_neuron,117739898131712800,864691136123706918
237203,OPC,nonneuron,86085164928841559,864691135388190081
327856,microglia,nonneuron,93037307158178358,864691136084113772
436674,microglia,nonneuron,100369538759595037,864691134988981370
610745,23P,excitatory_neuron,112809206687881360,864691136066690456
338234,5P-IT,excitatory_neuron,93749035583911751,864691135701161506
159822,4P,excitatory_neuron,81290469128329826,864691135655104450
560406,5P-IT,excitatory_neuron,108665696715764686,864691136266449908
498677,6P-CT,excitatory_neuron,104237413635077075,864691136010894755
363940,4P,excitatory_neuron,95360919630369812,864691135562141153
297857,oligo,nonneuron,89665104794322947,864691136065287832
