pre_pt_root_id,post_pt_root_id,n
864691135065987908,864691136724472317,1
864691135066293828,864691136741465692,1
864691135066293828,864691136741530460,2
864691135066349124,864691136741444444,2
864691135066349124,864691136742921308,3
864691135066349124,864691136758865774,1
864691135066377796,864691136724121853,1
864691135066437188,864691136740924764,1
864691135066617924,864691136724121853,1
864691135066734660,864691136740562012,1
864691135066891844,864691136741182812,1
864691135066958404,864691136725773053,1
864691135067053124,864691136724880893,1
864691135067053124,864691136740924764,16
864691135067053124,864691136741497692,1
864691135067053124,864691136742071900,2
864691135067066948,864691136742438492,1
864691135067084612,864691136743424348,2
864691135067192900,864691136741774684,1
864691135067192900,864691136742921308,1
864691135067476548,864691136740562012,2
864691135067645764,864691136725391357,1
864691135067645764,864691136725868541,2
864691135067645764,864691136725878269,1
864691135067645764,864691136741182812,1
864691135067645764,864691136741444444,1
864691135067727428,864691136743169372,1
864691135067739972,864691136725773053,1
864691135067739972,864691136742438492,1
864691135067908676,864691136740416092,1
864691135072008224,864691136741221468,1
864691135081638135,864691136724121853,2
864691135081638135,864691136742047324,2
864691135081662967,864691136724121853,1
864691135081662967,864691136741497692,1
864691135081665783,864691136740460636,2
864691135081669623,864691136724121853,1
864691135081688567,864691136724382973,1
864691135081708023,864691136743296484,1
864691135081727223,864691136758865774,1
864691135081732087,864691136740886108,1
864691135081902071,864691136725134589,1
864691135082002679,864691136741430364,1
864691135082003959,864691136724687613,1
864691135082003959,864691136724880893,2
864691135082003959,864691136740841564,3
864691135082007287,864691136724687613,3
864691135082007287,864691136724880893,2
864691135082007287,864691136736141422,2
864691135082007287,864691136740841564,1
864691135082007287,864691136740924764,4
864691135082007287,864691136741497692,2
864691135082085111,864691136741497692,1
864691135082275831,864691136741531228,1
864691135082291959,864691136724624125,1
864691135082291959,864691136741497692,1
864691135082328567,864691136736141422,2
864691135082328567,864691136742047324,1
864691135082420215,864691136724687613,1
864691135082420215,864691136724880893,3
864691135082420215,864691136740460636,3
864691135082420215,864691136740924764,1
864691135082420215,864691136741497692,1
864691135082480631,864691136740433756,1
864691135082511607,864691136741430364,1
864691135082525943,864691136725868541,1
864691135082525943,864691136743296484,1
864691135082525943,864691136745644004,1
864691135082533623,864691136725391357,1
864691135082615287,864691136741221468,1
864691135082647543,864691136742047324,1
864691135082714871,864691136743424348,1
864691135082722807,864691136724360957,3
864691135082722807,864691136740460636,2
864691135082732023,864691136736141422,1
864691135082743287,864691136741497692,1
864691135082841632,864691136743402862,1
864691135082891255,864691136724441085,1
864691135082891255,864691136740798556,1
864691135083595255,864691136740433756,1
864691135083846903,864691136725868541,2
864691135083846903,864691136741444444,1
864691135083846903,864691136742921308,1
864691135083846903,864691136743169372,4
864691135083972087,864691136725391357,1
864691135083972087,864691136742438492,1
864691135084038647,864691136725868541,1
864691135084136439,864691136724443389,1
864691135084221687,864691136740406108,1
864691135084221687,864691136741444444,1
864691135084221687,864691136742921308,1
864691135099444768,864691136742248046,1
864691135099842336,864691136741756252,1
864691135099855904,864691136741530460,2
864691135099874848,864691136723596797,6
864691135099939872,864691136724121853,1
864691135100130336,864691136741221468,1
864691135100193824,864691136743364188,2
864691135100369440,864691136741182812,1
864691135100464672,864691136740416092,1
864691135100708640,864691136742047324,1
864691135100839712,864691136724624125,1
864691135100858144,864691136742047324,2
864691135100896800,864691136740402524,1
864691135100897568,864691136740924764,2
864691135100920608,864691136725773053,1
864691135100931104,864691136741532764,1
864691135100933664,864691136724382973,1
864691135101594656,864691136741444444,1
864691135101640736,864691136758865774,5
864691135101921568,864691136740460636,1
864691135101921568,864691136758676598,1
864691135101924384,864691136724624125,1
864691135101924384,864691136724687613,2
864691135101924384,864691136740841564,2
864691135102385696,864691136741530460,3
864691135102385696,864691136742800476,3
864691135102492960,864691136725878269,1
864691135103972685,864691136742047324,1
864691135103983181,864691136736141422,1
864691135103987533,864691136741532764,1
864691135103991117,864691136740924764,2
864691135104008013,864691136755547502,1
864691135104025933,864691136741444444,1
864691135104027213,864691136743424348,1
864691135104037709,864691136724441085,1
864691135104148045,864691136724334845,2
864691135104246861,864691136725773053,1
864691135104414541,864691136740924764,1
864691135104743501,864691136742047324,1
864691135104897101,864691136740460636,1
864691135104915533,864691136743402862,1
864691135104990285,864691136740460636,1
864691135105048653,864691136740886108,1
864691135105050189,864691136725356541,1
864691135105050189,864691136740433756,1
864691135105052749,864691136758676598,1
864691135105074253,864691136736141422,2
864691135105149773,864691136741756252,1
864691135105334093,864691136736141422,1
864691135105524557,864691136724472317,1
864691135105541453,864691136741223260,1
864691135105812557,864691136740406108,2
864691135105850701,864691136741182812,1
864691135105992013,864691136743424348,2
864691135106189901,864691136725356541,1
864691135106189901,864691136741323612,2
864691135106189901,864691136755547502,2
864691135106367309,864691136725773053,1
864691135106367309,864691136725878269,1
864691135106367309,864691136742921308,1
