pre,post,n
864691136438882974,864691135119099869,1
864691135949010017,864691135119120349,1
864691135853281223,864691135124401191,6
864691135137446681,864691135119991261,11
864691135374268616,864691135123045927,1
864691135213510968,864691135123335463,1
864691135084073207,864691135123726119,2
864691135213058616,864691135123275303,2
864691135528046939,864691135115424665,5
864691135732191673,864691135119270109,1
864691135741883284,864691135118847197,1
864691135858282030,864691135124401191,4
864691135114679705,864691135124690471,3
864691136423709743,864691135132937120,1
864691136237961020,864691135132937888,1
864691136991445909,864691135122836263,1
864691136673705351,864691135118527709,1
864691135858282030,864691135123621159,1
864691136372195720,864691135118831325,1
864691136123728422,864691135122769191,1
864691137019954542,864691135119866845,2
864691135997572266,864691135123285031,1
864691135067740740,864691135118651101,1
864691136111408312,864691135124209447,2
864691135703282043,864691135124690471,5
864691135940835750,864691135118756573,1
864691135118298845,864691135118658269,3
864691135719782449,864691135132671904,1
864691135741360235,864691135123342887,2
864691135511253513,864691135124209447,2
864691135207730809,864691135123045927,1
864691136662437598,864691135123508775,1
864691135739222129,864691135132956064,1
864691135164408365,864691135119866845,1
864691137198754369,864691135123342887,3
864691135276975333,864691135119891165,1
864691135865964158,864691135122346023,1
864691135518305747,864691135122942503,2
864691136288927939,864691135123726119,1
864691135989817088,864691135117818077,1
864691135920176560,864691135122318119,1
864691135864974206,864691135118847197,1
864691136438584478,864691135118674397,2
864691135947047777,864691135118565085,1
864691135374241480,864691135118527709,1
864691135396385057,864691135124401191,1
864691135858282030,864691135124538151,1
864691135448821844,864691135118674397,2
864691135875464334,864691135118847197,2
864691135941039361,864691135118658269,1
864691136675813511,864691135118559453,2
864691136451982335,864691135119866845,1
864691135516880595,864691135118527709,1
864691135776982189,864691135118491357,1
864691135720559921,864691135124538151,1
864691135358839128,864691135122350375,2
864691135456535658,864691135119991261,14
864691135123358503,864691135123358503,8
864691135271112613,864691135118456797,1
864691135270628005,864691135123180583,1
864691135123205671,864691135123205671,8
864691136238806031,864691135118831325,1
864691135366936825,864691135123029287,1
864691135583172717,864691135119891165,1
864691136927732810,864691135124538151,3
864691135113632409,864691135132937120,1
864691136990688149,864691135123951655,1
864691135988692224,864691135118741725,1
864691134949737468,864691135124690471,1
864691135576383774,864691135124690471,1
864691136619825037,864691135122346023,2
864691136445557123,864691135124690471,3
864691135347756959,864691135118831325,1
864691135853090503,864691135118651101,2
864691136121037592,864691135123162407,1
864691135811313100,864691135115225753,1
864691135213533568,864691135122318119,1
864691135502894005,864691135117836509,2
864691136903280306,864691135118756573,1
864691135586491260,864691135123330855,5
864691135105971789,864691135122346023,10
864691135865681116,864691135132937888,5
864691135118704093,864691135118704093,12
864691136489712914,864691135118831325,1
864691135686199700,864691135118756573,1
864691136010024620,864691135119866845,1
864691136034350523,864691135118651101,2
864691135294441654,864691135114175129,1
864691136085171820,864691135123045927,1
864691135544396584,864691135117818077,1
864691136812887923,864691135118741725,1
864691136523889553,864691135118831325,6
864691136925111012,864691135123508775,1
864691134887538426,864691135124538151,2
864691136380773077,864691135114458521,1
864691136021764856,864691135119866845,1
864691135360100423,864691135114582681,1
864691137056364150,864691135123726119,1
864691136914542577,864691135119991261,4
864691135342876081,864691135122942503,1
864691135941473396,864691135118186461,1
864691135118687197,864691135119891165,2
864691135991525313,864691135119866845,2
864691137197856065,864691135118458845,1
864691135686755511,864691135118651101,5
864691135970019173,864691135119866845,1
864691135892233097,864691135124401191,1
864691136065272216,864691135118532317,1
864691135654354370,864691135118458845,2
864691136226981713,864691135132671904,1
864691135943389556,864691135119924189,8
864691136057345496,864691135118458845,3
864691136524134033,864691135118831325,1
864691135119891165,864691135118527709,1
864691135480553414,864691135132671904,1
864691136137706365,864691135115424665,2
864691135811734220,864691135118741725,1
864691136108752312,864691135115424665,1
864691135528155739,864691135114679705,1
864691135059542939,864691135115122585,1
864691135123227687,864691135123227687,14
864691135639638843,864691135122836263,1
864691135685093362,864691135118527709,2
864691135922225155,864691135118446813,1
864691135869457430,864691135118831325,13
864691136084388972,864691135123342887,10
864691136026056761,864691135119891165,6
864691135616106601,864691135118527709,1
864691135431995696,864691135118831325,4
864691135619885711,864691135123508775,1
864691135912367785,864691135115225753,12
864691135385358421,864691135124209447,1
864691135577793054,864691135118559453,1
864691135274708753,864691135119991261,1
864691136391072784,864691135118756573,2
864691135741495956,864691135119270109,3
864691135396342517,864691135118658269,3
864691136817744750,864691135118899421,1
864691135182811906,864691135123188007,1
