arm,run,phase,after_trial,rate_cond,rate_noncond,B0_cond,B0_noncond,R_cond,R_noncond
intact_av,1,ext,8,65.43554006968641,64.56582633053222,80.33681765389083,65.74229691876752,0.8145149631343067,0.9821048146570088
intact_av,2,baseline,0,79.82578397212544,65.09803921568628,80.41811846689896,65.49953314659197,0.99263431542461,0.9938702779757663
intact_av,2,baseline,1,82.19512195121952,67.61904761904762,80.41811846689896,65.49953314659197,1.0220970537261698,1.032359230220955
intact_av,2,baseline,2,79.23344947735191,63.781512605042025,80.41811846689896,65.49953314659197,0.98526863084922,0.9737704918032788
intact_av,2,acq,1,75.15679442508711,66.44257703081233,80.41811846689896,65.49953314659197,0.9345753899480069,1.0143977191732003
intact_av,2,acq,2,69.44250871080139,66.30252100840337,80.41811846689896,65.49953314659197,0.8635181975736568,1.0122594440484678
intact_av,2,acq,3,64.52961672473869,66.66666666666667,80.41811846689896,65.49953314659197,0.8024263431542462,1.0178189593727727
intact_av,2,acq,4,58.1184668989547,64.67787114845939,80.41811846689896,65.49953314659197,0.7227036395147313,0.9874554526015681
intact_av,2,acq,6,49.79094076655052,64.08963585434174,80.41811846689896,65.49953314659197,0.6191507798960137,0.9784746970776906
intact_av,2,acq,8,43.135888501742166,64.81792717086836,80.41811846689896,65.49953314659197,0.5363951473136915,0.9895937277263009
intact_av,2,acq,10,38.9198606271777,64.53781512605043,80.41811846689896,65.49953314659197,0.4839688041594453,0.9853171774768356
intact_av,2,acq,12,36.41114982578397,63.0812324929972,80.41811846689896,65.49953314659197,0.45277296360485264,0.9630791161796152
intact_av,2,ext,1,35.92334494773519,63.33333333333334,80.41811846689896,65.49953314659197,0.4467071057192374,0.9669280114041341
intact_av,2,ext,2,43.34494773519164,62.773109243697476,80.41811846689896,65.49953314659197,0.5389948006932409,0.9583749109052031
intact_av,2,ext,3,51.463414634146346,65.54621848739497,80.41811846689896,65.49953314659197,0.639948006932409,1.000712758374911
intact_av,2,ext,4,54.18118466898955,62.15686274509804,80.41811846689896,65.49953314659197,0.6737435008665511,0.9489665003563792
intact_av,2,ext,5,58.74564459930314,65.51820728291317,80.41811846689896,65.49953314659197,0.7305025996533796,1.0002851033499645
intact_av,2,ext,6,61.672473867595826,65.60224089635855,80.41811846689896,65.49953314659197,0.7668977469670711,1.001568068424804
intact_av,2,ext,7,61.846689895470384,63.30532212885154,80.41811846689896,65.49953314659197,0.7690641247833622,0.9665003563791875
intact_av,2,ext,8,65.99303135888502,66.41456582633054,80.41811846689896,65.49953314659197,0.8206239168110918,1.0139700641482539
intact_av,3,baseline,0,81.63763066202091,67.61904761904762,80.84785133565622,66.30252100840336,1.0097687113920415,1.0198563582594
intact_av,3,baseline,1,80.94076655052265,66.27450980392157,80.84785133565622,66.30252100840336,1.0011492601637697,0.9995775242923532
intact_av,3,baseline,2,79.9651567944251,65.0140056022409,80.84785133565622,66.30252100840336,0.9890820284441891,0.9805661174482468
intact_av,3,acq,1,76.30662020905923,67.703081232493,80.84785133565622,66.30252100840336,0.9438299094957621,1.0211237853823407
intact_av,3,acq,2,67.42160278745645,64.08963585434174,80.84785133565622,66.30252100840336,0.8339319063352967,0.966624419095902
intact_av,3,acq,3,63.275261324041814,65.77030812324931,80.84785133565622,66.30252100840336,0.7826461715270795,0.9919729615547107
intact_av,3,acq,4,57.909407665505235,64.53781512605043,80.84785133565622,66.30252100840336,0.7162763970693866,0.9733840304182512
intact_av,3,acq,6,50.940766550522646,65.60224089635855,80.84785133565622,66.30252100840336,0.6300818847866685,0.9894381073088299
intact_av,3,acq,8,42.02090592334495,62.29691876750701,80.84785133565622,66.30252100840336,0.5197529090647895,0.9395859738065062
intact_av,3,acq,10,40.069686411149824,65.82633053221289,80.84785133565622,66.30252100840336,0.49561844562562846,0.9928179129700043
intact_av,3,acq,12,35.714285714285715,62.324929971988794,80.84785133565622,66.30252100840336,0.44174687544892977,0.940008449514153
intact_av,3,ext,1,37.177700348432055,64.78991596638656,80.84785133565622,66.30252100840336,0.4598477230283005,0.9771863117870723
intact_av,3,ext,2,45.156794425087114,65.32212885154063,80.84785133565622,66.30252100840336,0.5585404395920127,0.9852133502323618
intact_av,3,ext,3,52.36933797909408,67.11484593837535,80.84785133565622,66.30252100840336,0.6477517598046257,1.0122517955217576
intact_av,3,ext,4,55.43554006968641,65.93837535014006,80.84785133565622,66.30252100840336,0.6856773452090217,0.9945078158005916
intact_av,3,ext,5,58.25783972125436,64.11764705882354,80.84785133565622,66.30252100840336,0.7205861226835225,0.9670468948035489
intact_av,3,ext,6,61.74216027874565,66.27450980392157,80.84785133565622,66.30252100840336,0.7636833788248816,0.9995775242923532
intact_av,3,ext,7,64.98257839721255,67.19887955182074,80.84785133565622,66.30252100840336,0.8037638270363454,1.013519222644698
intact_av,3,ext,8,66.27177700348433,67.17086834733894,80.84785133565622,66.30252100840336,0.8197098118086483,1.013096746937051
D_abl,0,baseline,0,82.02090592334496,67.11484593837535,81.63763066202091,66.66666666666667,1.0046948356807512,1.0067226890756302
D_abl,0,baseline,1,82.43902439024392,67.45098039215686,81.63763066202091,66.66666666666667,1.0098164746052072,1.011764705882353
D_abl,0,baseline,2,80.45296167247388,65.4341736694678,81.63763066202091,66.66666666666667,0.9854886897140419,0.9815126050420169
D_abl,0,acq,1,81.0452961672474,66.21848739495799,81.63763066202091,66.66666666666667,0.992744344857021,0.9932773109243698
D_abl,0,acq,2,80.38327526132404,65.46218487394958,81.63763066202091,66.66666666666667,0.9846350832266325,0.9819327731092437
D_abl,0,acq,3,81.8815331010453,68.0952380952381,81.63763066202091,66.66666666666667,1.0029876227059327,1.0214285714285714
D_abl,0,acq,4,80.52264808362371,65.23809523809524,81.63763066202091,66.66666666666667,0.9863422962014512,0.9785714285714285
D_abl,0,acq,6,80.20905923344948,65.29411764705883,81.63763066202091,66.66666666666667,0.9825010670081092,0.9794117647058823
D_abl,0,acq,8,80.94076655052265,66.47058823529413,81.63763066202091,66.66666666666667,0.9914639351259069,0.9970588235294119
D_abl,0,acq,10,81.49825783972126,66.41456582633054,81.63763066202091,66.66666666666667,0.9982927870251814,0.9962184873949581
D_abl,0,acq,12,79.26829268292683,64.06162464985995,81.63763066202091,66.66666666666667,0.9709773794280836,0.9609243697478992
D_abl,0,ext,1,81.53310104529616,67.22689075630252,81.63763066202091,66.66666666666667,0.9987195902688859,1.0084033613445378
D_abl,0,ext,2,80.13937282229965,65.15406162464987,81.63763066202091,66.66666666666667,0.9816474605206998,0.977310924369748
D_abl,0,ext,3,79.75609756097562,65.46218487394958,81.63763066202091,66.66666666666667,0.9769526248399488,0.9819327731092437
D_abl,0,ext,4,80.94076655052265,66.05042016806723,81.63763066202091,66.66666666666667,0.9914639351259069,0.9907563025210084
D_abl,0,ext,5,81.53310104529616,67.50700280112045,81.63763066202091,66.66666666666667,0.9987195902688859,1.0126050420168067
D_abl,0,ext,6,80.31358885017423,65.4341736694678,81.63763066202091,66.66666666666667,0.9837814767392233,0.9815126050420169
D_abl,0,ext,7,80.69686411149826,65.29411764705883,81.63763066202091,66.66666666666667,0.9884763124199744,0.9794117647058823
D_abl,0,ext,8,81.3240418118467,66.9467787114846,81.63763066202091,66.66666666666667,0.9961587708066582,1.004201680672269
D_abl,1,baseline,0,81.25435540069687,66.33053221288516,80.95238095238096,66.25583566760038,1.0037302725968436,1.0011273957158964
D_abl,1,baseline,1,80.97560975609757,66.63865546218489,80.95238095238096,66.25583566760038,1.000286944045911,1.0057779030439684
D_abl,1,baseline,2,80.62717770034844,65.79831932773111,80.95238095238096,66.25583566760038,0.9959827833572453,0.9930947012401354
D_abl,1,acq,1,80.76655052264809,65.4341736694678,80.95238095238096,66.25583566760038,0.9977044476327116,0.987598647125141
D_abl,1,acq,2,79.82578397212544,65.23809523809524,80.95238095238096,66.25583566760038,0.9860832137733141,0.9846392333709132
D_abl,1,acq,3,81.25435540069687,66.86274509803923,80.95238095238096,66.25583566760038,1.0037302725968436,1.0091600901916573
D_abl,1,acq,4,81.11498257839722,66.52661064425772,80.95238095238096,66.25583566760038,1.0020086083213773,1.004086809470124
D_abl,1,acq,6,81.98606271777004,68.26330532212886,80.95238095238096,66.25583566760038,1.0127690100430415,1.0302987598647124
D_abl,1,acq,8,80.83623693379792,66.61064425770309,80.95238095238096,66.25583566760038,0.9985652797704447,1.0053551296505072
D_abl,1,acq,10,80.20905923344948,65.91036414565828,80.95238095238096,66.25583566760038,0.9908177905308464,0.9947857948139799
D_abl,1,acq,12,80.45296167247388,65.46218487394958,80.95238095238096,66.25583566760038,0.9938307030129124,0.988021420518602
D_abl,1,ext,1,80.41811846689896,66.27450980392157,80.95238095238096,66.25583566760038,0.9934002869440458,1.000281848928974
D_abl,1,ext,2,80.73170731707319,65.74229691876752,80.95238095238096,66.25583566760038,0.9972740315638451,0.9922491544532133
D_abl,1,ext,3,80.90592334494774,65.85434173669469,80.95238095238096,66.25583566760038,0.9994261119081778,0.9939402480270576
D_abl,1,ext,4,80.48780487804879,66.21848739495799,80.95238095238096,66.25583566760038,0.994261119081779,0.9994363021420518
