arm,run,phase,after_trial,mbon_rate_hz,B0,R
intact_av,3,acq,3,53.03571428571429,76.79563492063492,0.690608448520863
intact_av,3,acq,4,48.05059523809524,76.79563492063492,0.6256943547345304
intact_av,3,acq,6,41.711309523809526,76.79563492063492,0.5431468802480299
intact_av,3,acq,8,36.81547619047619,76.79563492063492,0.47939542694742276
intact_av,3,acq,10,33.526785714285715,76.79563492063492,0.4365715023898721
intact_av,3,acq,12,30.208333333333332,76.79563492063492,0.3933600310037462
intact_av,3,ext,1,30.922619047619047,76.79563492063492,0.4026611548895491
intact_av,3,ext,2,37.336309523809526,76.79563492063492,0.4861774964474874
intact_av,3,ext,3,40.68452380952382,76.79563492063492,0.5297765146621884
intact_av,3,ext,4,45.75892857142858,76.79563492063492,0.5958532489342463
intact_av,3,ext,5,48.63095238095238,76.79563492063492,0.6332515178917452
intact_av,3,ext,6,50.81845238095238,76.79563492063492,0.6617362097920165
intact_av,3,ext,7,53.61607142857143,76.79563492063492,0.6981656116780778
intact_av,3,ext,8,56.11607142857143,76.79563492063492,0.7307195452783878
D_abl,0,baseline,0,77.7827380952381,76.49305555555556,1.0168601258024772
D_abl,0,baseline,1,75.0,76.49305555555556,0.9804811620517476
D_abl,0,baseline,2,76.69642857142857,76.49305555555556,1.0026587121457753
D_abl,0,acq,1,79.49404761904762,76.49305555555556,1.0392322158096103
D_abl,0,acq,2,77.23214285714286,76.49305555555556,1.0096621490175735
D_abl,0,acq,3,78.21428571428572,76.49305555555556,1.022501783282537
D_abl,0,acq,4,76.72619047619048,76.49305555555556,1.0030477919719862
D_abl,0,acq,6,76.93452380952381,76.49305555555556,1.0057713507554633
D_abl,0,acq,8,76.16071428571429,76.49305555555556,0.9956552752739771
D_abl,0,acq,10,75.84821428571429,76.49305555555556,0.9915699370987615
D_abl,0,acq,12,79.30059523809524,76.49305555555556,1.0367031969392386
D_abl,0,ext,1,76.04166666666667,76.49305555555556,0.994098955969133
D_abl,0,ext,2,76.17559523809524,76.49305555555556,0.9958498151870826
D_abl,0,ext,3,79.21130952380952,76.49305555555556,1.0355359574606056
D_abl,0,ext,4,78.64583333333334,76.49305555555556,1.0281434407625967
D_abl,0,ext,5,78.27380952380952,76.49305555555556,1.0232799429349588
D_abl,0,ext,6,76.62202380952381,76.49305555555556,1.0016860125802478
D_abl,0,ext,7,76.97916666666667,76.49305555555556,1.0063549704947798
D_abl,0,ext,8,75.86309523809524,76.49305555555556,0.991764477011867
D_abl,1,baseline,0,75.55059523809524,75.40674603174604,1.0019076437310879
D_abl,1,baseline,1,74.79166666666667,75.40674603174604,0.9918431785291408
D_abl,1,baseline,2,75.8779761904762,75.40674603174604,1.006249177739771
D_abl,1,acq,1,75.50595238095238,75.40674603174604,1.0013156163662675
D_abl,1,acq,2,75.61011904761905,75.40674603174604,1.0026970135508486
D_abl,1,acq,3,77.05357142857143,75.40674603174604,1.021839231680042
D_abl,1,acq,4,77.64880952380952,75.40674603174604,1.0297329298776474
D_abl,1,acq,6,76.01190476190477,75.40674603174604,1.0080252598342323
D_abl,1,acq,8,75.41666666666667,75.40674603174604,1.0001315616366266
D_abl,1,acq,10,77.1577380952381,75.40674603174604,1.023220628864623
D_abl,1,acq,12,76.16071428571429,75.40674603174604,1.0099986843836337
D_abl,1,ext,1,77.39583333333334,75.40674603174604,1.0263781081436654
D_abl,1,ext,2,77.63392857142857,75.40674603174604,1.0295355874227075
D_abl,1,ext,3,76.78571428571429,75.40674603174604,1.0182870674911195
D_abl,1,ext,4,77.63392857142857,75.40674603174604,1.0295355874227075
D_abl,1,ext,5,76.99404761904762,75.40674603174604,1.0210498618602815
D_abl,1,ext,6,78.05059523809524,75.40674603174604,1.0350611761610313
D_abl,1,ext,7,77.33630952380952,75.40674603174604,1.0255887383239046
D_abl,1,ext,8,77.08333333333334,75.40674603174604,1.0222339165899224
D_abl,2,baseline,0,76.57738095238095,77.64384920634922,0.9862646138120487
D_abl,2,baseline,1,79.375,77.64384920634922,1.022296045486488
D_abl,2,baseline,2,76.97916666666667,77.64384920634922,0.9914393407014629
D_abl,2,acq,1,77.23214285714286,77.64384920634922,0.9946975020762793
D_abl,2,acq,2,77.72321428571429,77.64384920634922,1.0010221682744522
D_abl,2,acq,3,80.50595238095238,77.64384920634922,1.0368619433974318
D_abl,2,acq,4,77.91666666666667,77.64384920634922,1.0035137034434294
D_abl,2,acq,6,74.38988095238095,77.64384920634922,0.9580911007474604
D_abl,2,acq,8,76.65178571428572,77.64384920634922,0.9872228965693477
