arm,run,phase,after_trial,mbon_rate_hz,B0,R
shuffle_v2,2,acq,10,96.42857142857143,140.72420634920636,0.6852308776876983
shuffle_v2,2,acq,12,96.45833333333333,140.72420634920636,0.6854423686993302
shuffle_v2,2,ext,1,95.84821428571429,140.72420634920636,0.6811068029608742
shuffle_v2,2,ext,2,101.81547619047619,140.72420634920636,0.7235107507930912
shuffle_v2,2,ext,3,105.35714285714286,140.72420634920636,0.7486781811773
shuffle_v2,2,ext,4,108.61607142857143,140.72420634920636,0.7718364469510046
shuffle_v2,2,ext,5,111.9047619047619,140.72420634920636,0.7952062037363411
shuffle_v2,2,ext,6,116.35416666666669,140.72420634920636,0.8268241099753262
shuffle_v2,2,ext,7,118.21428571428572,140.72420634920636,0.8400422982023265
shuffle_v2,2,ext,8,121.71130952380953,140.72420634920636,0.8648924920690871
shuffle_v2,3,baseline,0,141.14583333333334,140.96726190476193,1.0012667581547556
shuffle_v2,3,baseline,1,140.77380952380955,140.96726190476193,0.9986276786656815
shuffle_v2,3,baseline,2,140.98214285714286,140.96726190476193,1.0001055631795628
shuffle_v2,3,acq,1,131.57738095238096,140.96726190476193,0.9333896336957669
shuffle_v2,3,acq,2,124.8809523809524,140.96726190476193,0.885886202892431
shuffle_v2,3,acq,3,119.44940476190476,140.96726190476193,0.8473556423519475
shuffle_v2,3,acq,4,113.51190476190476,140.96726190476193,0.8052359337063231
shuffle_v2,3,acq,6,105.9672619047619,140.96726190476193,0.7517154016678981
shuffle_v2,3,acq,8,100.16369047619048,140.96726190476193,0.7105457616383405
shuffle_v2,3,acq,10,96.97916666666669,140.96726190476193,0.6879552412118654
shuffle_v2,3,acq,12,95.41666666666669,140.96726190476193,0.6768711073577537
shuffle_v2,3,ext,1,96.68154761904762,140.96726190476193,0.6858439776206058
shuffle_v2,3,ext,2,100.61011904761905,140.96726190476193,0.7137126570252296
shuffle_v2,3,ext,3,107.23214285714286,140.96726190476193,0.7606882719307505
shuffle_v2,3,ext,4,110.95238095238096,140.96726190476193,0.7870790668214926
shuffle_v2,3,ext,5,112.05357142857143,140.96726190476193,0.7948907421091522
shuffle_v2,3,ext,6,116.54761904761905,140.96726190476193,0.8267708223371687
shuffle_v2,3,ext,7,118.79464285714286,140.96726190476193,0.8427108624511769
shuffle_v2,3,ext,8,120.65476190476191,140.96726190476193,0.855906259896548
